CODIGO ALUMNO,LENGUAJE DE PROGRAMACION III,MATEMATICA IV,DISEÑO DE SISTEMAS,ESTADISTICA,GEOMETRIA DESCRIPTIVA Y DIBUJO,SISTEMAS DIGITALES,INGENIERIA DE SISTEMAS,PROYECTOS DE SISTEMAS,ECONOMIA GENERAL,ANALISIS DE SISTEMAS,ANALISIS ECONOMICO,ESTADISTICA APLICADA,TALLER DE BASE DE DATOS,ADMINISTRACION Y GESTION EMPRESARIAL,MATEMATICA II,MATEMATICA III,COSTOS Y PRESUPUESTOS,INTRODUCCION A LA INGENIERIA DE SISTEMAS,MATEMATICA BASICA,TEORIA DE DECISIONES,LENGUAJE DE PROGRAMACION II,BASE DE DATOS,SISTEMAS DE COMUNICACION,QUIMICA GENERAL,SISTEMAS DE INFORMACION GERENCIAL,INVESTIGACION OPERATIVA II,ANALISIS NUMERICO,SEMINARIO DE TESIS,METODICA DE LA COMUNICACION,GESTION TECNOLOGICA,FISICA II,LOGISTICA,COMPORTAMIENTO Y DESARROLLO ORGANIZACIONAL,CONSTITUCION DESARROLLO Y DEFENSA NACIONAL,METODOLOGIA DE LA INVESTIGACION CIENTIFICA,ARQUITECTURA Y ORGANIZACION DEL COMPUTADOR,SIMULACION DE SISTEMAS,AUDITORIA DE SISTEMAS,CONTABILIDAD GENERAL,INGENIERIA ECONOMICA Y FINANCIERA,MATEMATICA DISCRETA,FISICA III,ADMINISTRACION DE CENTROS DE INFORMACION,SISTEMAS OPERATIVOS,FISICA I,ESTRATEGIAS EMPRESARIALES Y POLITICAS CORPORATIVAS,MERCADOTECNIA,ORGANIZACION Y METODOS,MATEMATICA I,ALGORITMOS Y ESTRUCTURA DE DATOS,LENGUAJE DE PROGRAMACION I,CIRCUITOS ELECTRONICOS,INVESTIGACION OPERATIVA I,FORMULACION Y EVALUACION DE PROYECTOS DE SISTEMAS,TEORIA GENERAL DE SISTEMAS,PROMEDIO,RENDIMIENTO
1115220374,17,13,17,15,13,15,12,16,18,12,19,14,16,16,12,17,14,16,16,12,18,16,13,12,15,13,14,13,16,18,12,15,16,14,16,14,12,14,13,17,17,17,15,15,17,16,15,17,15,19,17,13,17,15,16,15.1272727273,A
1125210045,15,11,12,13,12,14,16,12,11,15,15,12,15,15,11,11,13,12,11,11,14,14,14,10,11,15,14,11,14,17,14,11,14,17,12,11,11,15,15,17,12,15,18,13,11,18,15,16,11,20,16,13,13,13,17,13.6181818182,A
1115220178,16,11,15,12,15,12,11,14,11,14,15,12,17,14,9,11,13,16,13,12,12,14,15,12,15,11,14,12,15,15,13,13,14,13,15,12,12,11,14,14,13,11,17,16,11,16,14,18,8,11,15,13,13,11,11,13.2181818182,A
100958B,14,11,13,11,9,11,14,13,12,13,14,8,12,11,11,9,11,12,8,12,11,0,13,8,0,12,10,3,16,11,12,14,11,12,11,6,0,0,16,13,12,11,11,15,12,12,15,17,11,8,5,12,6,11,9,10.4545454545,C
1115210198,14,11,17,11,15,13,15,9,11,13,15,11,12,14,7,11,12,15,7,11,13,14,14,8,11,11,18,11,14,12,11,11,13,14,16,6,11,17,13,11,13,15,12,5,12,16,13,13,3,13,12,0,11,6,13,11.8181818182,B
020945A,12,13,12,12,15,13,5,16,15,12,15,18,9,14,0,16,15,16,16,13,9,10,0,16,11,12,11,13,15,0,12,12,13,14,12,12,0,0,16,16,14,16,11,12,14,17,17,15,14,14,15,11,12,17,11,12.2,B
1115210064,12,11,14,14,16,13,11,11,11,11,20,11,17,14,15,12,12,18,14,12,13,13,12,14,11,11,11,13,16,12,12,19,14,15,15,11,11,11,16,19,11,17,11,14,12,19,18,19,12,13,10,11,13,15,17,13.6363636364,A
1115250011,10,11,12,11,8,13,13,15,8,13,11,11,15,16,13,4,16,10,12,12,16,14,13,7,5,9,11,12,11,16,11,11,11,14,11,8,11,12,13,0,6,11,5,14,12,8,11,15,11,12,14,12,12,13,12,11.2363636364,B
020669D,14,12,2,9,5,11,11,0,4,11,15,10,14,14,12,11,6,11,8,11,12,9,11,15,11,3,11,14,13,11,2,12,12,11,13,0,12,0,17,18,9,11,7,0,11,16,15,15,9,8,9,11,9,0,11,9.8,C
1025250012,13,16,12,14,13,15,11,11,11,11,13,11,14,14,11,11,17,12,14,11,11,16,11,14,1,0,0,11,15,11,11,12,11,15,16,8,11,11,14,17,1,13,11,18,13,16,11,16,14,8,14,14,0,11,13,11.7090909091,B
